Autor_in	Lebensdaten
Tennyson, Alfred	(1809–1892)
Franzos, Karl Emil	(1848–1904)
Widmann, Joseph Viktor	(1842–1911)
Baudelaire, Charles	(1821–1867)
Strindberg, August	(1849–1912)
Boldt, Paul	(1885–1921)
Bessmertny, Alexander	(1888–1943)
Gengenbach, Pamphilus	(um 1480 – 1524)
Keyserling, Eduard von	(1855–1918)
Breitinger, Johann Jakob	(1701–1776)
Görres, Joseph von	(1776–1848)
Lassalle, Ferdinand	(1825–1864)
Diderot, Denis	(1713–1784)
Ehrmann, Marianne	(1755–1795)
Petronius, Arbiter	(? – 66 n. Chr.)
Goethe, Johann Wolfgang von	(1749–1832)
Fock, Gorch	(1880–1916)
Einsiedel, Friedrich Hildebrand von	(1750–1828)
Cervantes Saavedra, Miguel de	(1547–1616)
Brunner, Thomas	(um 1535–1571)
Weidmann, Paul	(1748–1801)
Beer, Michael	(1800–1833)
Wohlbrück, Wilhelm August	(1796–1848)
Lauremberg, Johann	(1590–1658)
Nafzāwī, ʿUmar Ibn-Muḥammad an-	(16. Jhdt.)
Andersen, Hans Christian	(1805–1875)
Stadler, Ernst	(1883–1914)
Büsching, Johann Gustav Gottlieb	(1783–1829)
Mühsam, Erich	(1878–1934)
Logau, Friedrich von	(1605–1655)
Keller, Gottfried	(1819–1890)
Fleming, Paul	(1609–1640)
Seitz, Alexander	(um 1470 – um 1545)
Uhland, Ludwig	(1787–1862)
Bahr, Hermann	(1863–1934)
Roquette, Otto	(1824–1896)
Jacobsen, Jens Peter	(1847–1885)
Balzac, Honoré de	(1799–1854)
Gundolf, Friedrich	(1880–1931)
Groth, Klaus	(1819–1899)
Leopardi, Giacomo	(1798–1837)
Hauptmann, Carl	(1858–1921)
Theocritus	(um 310 v. Chr. – 250 v. Chr.)
Zesen, Philipp von	(1619–1689)
Schumann, Robert	(1810–1856)
Lachmann, Hedwig	(1865–1918)
Hille, Peter	(1854–1904)
Nachtigal, Johann Karl Christoph	(1753–1819)
Zäunemann, Sidonia Hedwig	(1714–1740)
Huysmans, Joris-Karl	(1848–1907)
Manzoni, Alessandro	(1785–1873)
Kupelwieser, Josef	(1791–1866)
Bierbaum, Otto Julius	(1865–1910)
Sudermann, Hermann	(1857–1928)
Wezel, Johann Carl	(1747–1819)
Sienkiewicz, Henryk	(1846–1916)
Apuleius, Madaurensis	(um 124 – um 180)
Celander	(1675–1711)
Klinger, Friedrich Maximilian von	(1752–1831)
Hölty, Ludwig Christoph Heinrich	(1748–1776)
Chaucer, Geoffrey	(1340?–1400)
Fischer, Christian August	(1771–1829)
Thackeray, William Makepeace	(1811–1863)
Mundt, Theodor	(1808–1861)
Lauremberg, Peter	(1585–1639)
Kästner, Abraham Gotthelf	(1719–1800)
Montaigne, Michel Eyquem de	(1533–1592)
Birlinger, Anton	(1834–1891)
Gerstäcker, Friedrich	(1816–1872)
Möllhausen, Balduin	(1825–1905)
Angelus, Silesius	(1624–1677)
Sonnleithner, Joseph	(1766–1835)
Plautus, Titus Maccius	(um 250–184 v. Chr.)
Bleibtreu, Carl	(1859–1928)
Weckherlin, Georg Rodolf	(1584–1653)
Stolberg-Stolberg, Friedrich Leopold zu	(1750–1819)
Goetz, Hermann	(1840–1876)
Stavenhagen, Fritz	(1876–1906)
Anzengruber, Ludwig	(1839–1889)
Arnim, Bettina von	(1785–1859)
Metastasio, Pietro	(1698–1782)
Opitz, Martin	(1597–1639)
Manuel, Niklaus	(um 1484–1530)
Luther, Martin	(1483–1546)
Leisewitz, Johann Anton	(1752–1806)
Racine, Jean	(1639–1699)
Ahlefeld, Charlotte von	(1781–1849)
Eberlin von Günzburg, Johann	(1470–1533)
Klingemann, Ernst August Friedrich	(1777–1831)
Klaj, Johann	(um 1616–1656)
Rosenow, Emil	(1871–1904)
Mirbeau, Octave	(1850–1917)
Grimmelshausen, Hans Jakob Christoffel von	(1621–1676)
Chlumberg, Hans	(1897–1930)
Holz, Arno	(1863–1929)
Parival, Jean Nicolas de	(1605–1669)
Salis-Seewis, Johann Gaudenz von	(1762–1834)
