Autor_in	Lebensdaten
Hermann Conradi	(1862–1890)
Karl Spiegel	(1863–1920)
Johann Beer	(1655–1700)
Elise Sommer	(1767–?)
Ludwig Ganghofer	(1855–1920)
Walt Whitman	(1819–1892)
Johann Michael von Loën	(1694–1776)
Johann Wilhelm Wolf	(1817–1855)
Edgar Allan Poe	(1809–1849)
Franz Ritter von Kobell	(1803–1882)
Michail Jur'evič Lermontov	(1814–1842)
Sophie von La Roche	(1730–1807)
Ferdinand Avenarius	(1856–1923)
Guillaume de Lorris	(1200–1238)
Quirinus Kuhlmann	(1651–1689)
Ludwig Achim von Arnim	(1781–1831)
Friedrich von Matthisson	(1761–1831)
Alain-René Lesage	(1668–1747)
Ludwig Börne	(1786–1837)
Johann Valentin Andreae	(1586–1654)
Friedrich Theodor Vischer	(1807–1887)
Charles Dickens	(1812–1870)
Simon Dach	(1605–1659)
Rainer Maria Rilke	(1875–1926)
George Hesekiel	(1819–1874)
Gustav von Moser	(1825–1903)
Hans Aßmann von Abschatz	(1646–1699)
Franziska Gräfin zu Reventlow	(1871–1918)
Johann Gottfried Seume	(1763–1810)
Friedrich Roeber	(1819–1901)
Pierre Augustin Caron de Beaumarchais	(1732–1799)
Ida Marie Louise Friederike Gustave Gräfin von Hahn-Hahn	(1805–1880)
Pietro Aretino	(1492–1556)
Georg Herwegh	(1817–1875)
Albert Emil Brachvogel	(1824–1878)
Hermann Ludwig Wolfram	(1781–1831)
Bjørnstjerne Bjørnson	(1832–1910)
Cäsar Flaischlen	(1864–1920)
Philipp Hafner	(1735–1764)
Hoffmann, E(rnst) T(heodor) A(madeus)	(1776–1822)
Josef Ruederer	(1861–1915)
Ludwig Aurbacher	(1784–1847)
Matthias Claudius	(1740–1815)
Johann Karl August Musäus	(1735–1787)
Adam Puschman	(1532–1600)
Friedrich de la Motte Fouqué	(1777–1843)
Alfred Lichtenstein	(1889–1915)
Ferruccio Busoni	(1866–1924)
Louise Otto	(1819–1895)
Alfred de Musset	(1810–1857)
Vergil	(70 v. Chr. – 19 v. Chr.)
Gustav Schwab	(1792–1850)
Josef Karl Bernard	(1781–1850)
Euripides	(um 480–406 v. Chr.)
Anton Wildgans	(1881–1932)
Elisabeth von Heyking	(1861–1925)
Johanna von Weißenthurn	(1772–1847)
Maria Luise Weissmann	(1899–1929)
August Wilhelm Schlegel	(seit 1815: von Schlegel) (1767–1845)
Multatuli	(1820–1887)
Daniel Czepko von Reigersfeld	(1605–1660)
